ID,Control,Delay,Restart,Dual
105,0.994680851,0.989528796,0.944444444,0.925925926
106,0.883116883,0.772727273,0.752475248,0.79245283
107,0.996415771,0.924418605,0.9375,0.875
108,0.946938776,0.930232558,0.917808219,NaN
109,0.815315315,0.831818182,0.786666667,0.5
110,0.956,0.979274611,0.987012987,
111,0.977358491,0.97740113,0.974683544,0.9375
112,0.996168582,0.958333333,0.989583333,NaN
113,0.972826087,0.972868217,0.947368421,NaN
114,0.960573477,0.927536232,0.920353982,1
116,0.952380952,0.967032967,0.88372093,NaN
117,0.985714286,0.977142857,0.936842105,NaN
118,0.920502092,0.896039604,0.822429907,NaN
119,0.906810036,0.961038961,0.87962963,0.857142857
120,0.861313869,0.850746269,0.578947368,0.745283019
121,0.91015625,0.880597015,0.837209302,NaN
122,0.996168582,0.958333333,0.989583333,NaN
123,0.927710843,0.97260274,0.957055215,0.925925926
