ID,Control,Delay,Restart,Dual
105,0.917714094,0.838624339,0.503174603,0.852380952
106,0.884259259,0.687271062,0.827777778,0.666666667
107,0.882216776,0.84382966,0.793650794,0.794078947
108,0.835978836,0.748955723,0.95,0.864923747
109,0.760648148,0.781556455,0.798941799,0.681787803
110,0.923747277,0.923632611,0.939153439,0.907602339
111,0.918981481,0.94335512,0.907407407,0.838011696
112,0.917892157,0.872053872,0.811317509,0.79869281
113,0.981481481,0.921296296,0.931216931,0.822222222
114,0.980392157,0.924721936,0.872393402,0.864661654
116,0.812636166,0.921181631,0.890983744,0.784722222
117,0.941040305,0.791283765,0.872222222,0.874122807
118,0.826388889,0.74471435,0.770833333,0.669467787
119,0.961873638,0.923747277,0.906318083,0.933333333
120,0.775132275,0.621682411,0.779076479,0.622222222
121,0.905228758,0.905228758,0.818954248,0.870565302
122,0.962962963,0.924836601,0.981481481,0.937336601
123,0.941176471,1,0.918518519,0.878676471
