ID,Control,Delay,Restart,Dual
105,0.811114394,0.75717888,0.856262176,1.022176151
106,0.889408241,0.950640129,1.161593608,1.023447822
107,1.131186561,1.06746441,1.231256223,1.247097872
108,0.797203117,0.925600584,1.022584462,NaN
109,0.867012129,0.971569259,1.000540271,0.836314228
110,0.768280499,0.784699604,0.514520662,NaN
111,0.511676902,0.551126858,0.618899772,0.845341624
112,0.67267425,0.765747201,0.93594164,NaN
113,0.927479315,0.850549192,1.212190653,NaN
114,0.851538504,0.873382611,0.854927586,0.98935212
116,1.493349496,1.328433898,1.603334312,NaN
117,0.670681621,0.687809859,0.919377836,NaN
118,0.837477177,0.919958626,0.984732735,NaN
119,1.007695852,1.025176897,1.137126269,1.376545618
120,0.864178658,0.883972753,1.026059424,1.026446122
121,0.694526061,0.685914668,0.920953671,NaN
122,0.67267425,0.765747201,0.93594164,NaN
123,1.108322659,0.92279378,1.185833304,1.155676158
