ID,Control,Delay,Switch,Dual
105,0.66666667,0.7,0.33333333,0.3
106,0.83333333,0.56666667,0.4,0.2
107,1,0.63333333,0.3,0.06666667
108,1,0.67857143,0.2962963,0
109,0.86206897,0.82758621,0.3,0.03333333
110,0.96551724,0.72413793,0.27586207,0.03448276
111,1,0.65517241,0.3,0.06666667
112,0.9,0.36666667,0.14285714,0.57142857
113,0.68965517,0.96551724,0.36666667,0
114,1,0.5,0.43333333,0.06666667
116,1,0.33333333,0.66666667,0
117,1,0.63333333,0.36666667,0
118,0.86666667,0.73333333,0.4,0
119,1,0.56666667,0.4,0.03333333
120,1,0.5,0.06666667,0.43333333
121,0.93333333,0.73333333,0.33333333,0
122,0.93333333,0.7,0.36666667,0
123,0.35714286,0.55172414,0.62068966,0.46666667
