Subject,selectionrate,Abstraction,PracticeRT,PracticeErr,SelectionRT,SelectionErr,Experiment,WorkingMem
106,0.83333333,2,924.4976,0.8842593,889.4082,0.8831169,Branch,0
107,1,2,1133.986,0.8822168,1131.1866,0.9964158,Branch,0
109,0.86206897,2,945.6528,0.7606481,867.0121,0.8153153,Branch,0
110,0.96551724,2,1219.7814,0.9237473,768.2805,0.956,Branch,0
111,1,2,631.7716,0.9189815,511.6769,0.9773585,Branch,0
112,0.9,2,1086.9622,0.9178922,672.6743,0.9961686,Branch,0
113,0.68965517,2,1205.3678,0.9814815,927.4793,0.9728261,Branch,0
114,1,2,920.1359,0.9803922,851.5385,0.9605735,Branch,0
116,1,2,1234.657,0.8126362,1493.3495,0.952381,Branch,0
117,1,2,941.0606,0.9410403,670.6816,0.9857143,Branch,0
118,0.86666667,2,1104.8151,0.8263889,837.4772,0.9205021,Branch,0
119,1,2,966.2494,0.9618736,1007.6959,0.90681,Branch,0
120,1,2,703.0277,0.7751323,864.1787,0.8613139,Branch,0
121,0.93333333,2,1028.9925,0.9052288,694.5261,0.9101562,Branch,0
122,0.93333333,2,873.0767,0.962963,672.6743,0.9961686,Branch,0
123,0.35714286,2,1357.1384,0.9411765,1108.3227,0.9277108,Branch,0
106,0.56666667,2.5,951.0293,0.6872711,950.6401,0.7727273,Branch,4
107,0.63333333,2.5,1173.4781,0.8438297,1067.4644,0.9244186,Branch,4
109,0.82758621,2.5,799.5943,0.7815565,971.5693,0.8318182,Branch,4
110,0.72413793,2.5,1024.2433,0.9236326,784.6996,0.9792746,Branch,4
111,0.65517241,2.5,680.146,0.9433551,551.1269,0.9774011,Branch,4
112,0.36666667,2.5,1356.1698,0.8720539,765.7472,0.9583333,Branch,4
113,0.96551724,2.5,1188.5833,0.9212963,850.5492,0.9728682,Branch,4
114,0.5,2.5,803.8016,0.9247219,873.3826,0.9275362,Branch,4
116,0.33333333,2.5,1507.0546,0.9211816,1328.4339,0.967033,Branch,4
117,0.63333333,2.5,846.1618,0.7912838,687.8099,0.9771429,Branch,4
118,0.73333333,2.5,904.5455,0.7447143,919.9586,0.8960396,Branch,4
119,0.56666667,2.5,908.8068,0.9237473,1025.1769,0.961039,Branch,4
120,0.5,2.5,676.5747,0.6216824,883.9728,0.8507463,Branch,4
121,0.73333333,2.5,946.7059,0.9052288,685.9147,0.880597,Branch,4
122,0.7,2.5,1025.0372,0.9248366,765.7472,0.9583333,Branch,4
123,0.55172414,2.5,1153.8584,1,922.7938,0.9726027,Branch,4
106,0.4,3,708.5819,0.8277778,1161.5936,0.7524752,Branch,0
107,0.3,3,1454.4067,0.7936508,1231.2562,0.9375,Branch,0
109,0.3,3,715.3205,0.7989418,1000.5403,0.7866667,Branch,0
110,0.27586207,3,863.9809,0.9391534,514.5207,0.987013,Branch,0
111,0.3,3,797.7799,0.9074074,618.8998,0.9746835,Branch,0
112,0.14285714,3,1341.4425,0.8113175,935.9416,0.9895833,Branch,0
113,0.36666667,3,1363.0998,0.9312169,1212.1907,0.9473684,Branch,0
114,0.43333333,3,1137.7496,0.8723934,854.9276,0.920354,Branch,0
116,0.66666667,3,2038.1572,0.8909837,1603.3343,0.8837209,Branch,0
117,0.36666667,3,1283.4512,0.8722222,919.3778,0.9368421,Branch,0
118,0.4,3,1267.5769,0.7708333,984.7327,0.8224299,Branch,0
119,0.4,3,1496.7316,0.9063181,1137.1263,0.8796296,Branch,0
120,0.06666667,3,918.8651,0.7790765,1026.0594,0.5789474,Branch,0
121,0.33333333,3,1094.7793,0.8189542,920.9537,0.8372093,Branch,0
122,0.36666667,3,1373.0318,0.9814815,935.9416,0.9895833,Branch,0
123,0.62068966,3,1343.0846,0.9185185,1185.8333,0.9570552,Branch,0
106,0.2,3.5,1192.0288,0.6666667,1023.4478,0.7924528,Branch,4
107,0.06666667,3.5,1453.1942,0.7940789,1247.0979,0.875,Branch,4
109,0.03333333,3.5,1134.9576,0.6817878,836.3142,0.5,Branch,4
110,0.03448276,3.5,1607.083,0.9076023,,,Branch,4
111,0.06666667,3.5,774.6306,0.8380117,845.3416,0.9375,Branch,4
112,0.57142857,3.5,1465.0994,0.7986928,,,Branch,4
113,0,3.5,1446.051,0.8222222,,,Branch,4
114,0.06666667,3.5,1228.8135,0.8646617,989.3521,1,Branch,4
116,0,3.5,1839.8326,0.7847222,,,Branch,4
117,0,3.5,1481.5018,0.8741228,,,Branch,4
118,0,3.5,1370.6186,0.6694678,,,Branch,4
119,0.03333333,3.5,1481.5372,0.9333333,1376.5456,0.8571429,Branch,4
120,0.43333333,3.5,1289.4814,0.6222222,1026.4461,0.745283,Branch,4
121,0,3.5,1446.0368,0.8705653,,,Branch,4
122,0,3.5,1535.5711,0.9373366,,,Branch,4
123,0.46666667,3.5,1635.3788,0.8786765,1155.6762,0.9259259,Branch,4
106,0.97959184,0,338.4638,1,398.2581,0.9983766,Response,0
107,0.98,0,371.6336,1,412.3882,0.9983165,Response,0
109,0.94,0,455.2981,0.9912281,354.4278,0.9948542,Response,0
110,0.8,0,378.6407,0.7105263,335.1751,1,Response,0
111,0.62,0,385.874,1,345.3385,1,Response,0
112,0.88,0,492.6338,1,415.7205,1,Response,0
113,1,0,313.0809,1,386.4697,1,Response,0
114,0.92,0,361.6081,1,412.5297,1,Response,0
116,0.98,0,407.4595,1,519.6182,1,Response,0
117,0.96,0,284.1298,1,318.5113,1,Response,0
118,1,0,609.4645,1,510.4059,1,Response,0
119,1,0,349.7139,1,407.3035,0.9982847,Response,0
120,0.92,0,669.8524,1,545.298,0.9781818,Response,0
121,1,0,388.006,1,387.7288,0.9983766,Response,0
122,0.38,0,517.6752,1,328.5268,1,Response,0
123,0.58,1,426.2265,1,356.4032,1,Response,0
106,0.625,1,659.5458,0.9736842,612.2688,0.9559229,Response,0
107,0.68,1,649.017,0.9912281,667.6311,0.985258,Response,0
109,0.34,1,597.8782,0.9473684,649.5052,0.892562,Response,0
110,0.66,1,704.6283,0.9824561,619.2584,0.9621212,Response,0
111,0.44,1,602.4949,0.9912281,556.4809,0.9781818,Response,0
112,0.66,1,680.6712,0.9649123,648.9431,0.9646465,Response,0
113,0.8,1,650.5596,0.9824561,650.9838,0.9586777,Response,0
114,0.62,1,706.7074,0.9561404,765.5234,0.9419192,Response,0
116,0.7,1,826.6188,0.9561404,945.3572,0.9230769,Response,0
117,0.16,1,564.3358,0.9736842,681.8991,0.9504132,Response,0
118,0.6,1,928.8914,0.9561404,981.2203,0.9421488,Response,0
119,0.74,1,666.0676,0.9912281,772.9637,0.9512195,Response,0
120,0.74,1,864.9915,0.9298246,841.5669,0.9667406,Response,0
121,0.68,1,954.3128,0.9824561,769.7184,0.958231,Response,0
122,0.44,1,699.8469,0.9649123,687.198,0.9781818,Response,0
123,0.5,1,914.2742,0.9649123,944.6131,0.9480519,Response,0
106,0.16326531,1,738.4994,0.9122807,779.872,0.9090909,Response,0
107,0.68,1,736.8306,0.9912281,721.3796,0.9823232,Response,0
109,0.36,1,698.5845,0.9649123,785.0474,0.9264069,Response,0
110,0.2,1,820.7551,0.9385965,833.2762,0.9454545,Response,0
111,0.52,1,742.1762,0.9824561,702.8694,0.9442815,Response,0
112,0.38,1,956.8018,0.8947368,804.2601,0.9318182,Response,0
113,0.6,1,727.2368,0.9649123,749.4757,0.9438503,Response,0
114,0.74,1,708.3198,0.9824561,807.7802,0.9578714,Response,0
116,0.7,1,922.6016,0.9298246,939.4122,0.9065657,Response,0
117,0.8,1,601.3558,0.9736842,639.5001,0.9640592,Response,0
118,0.2,1,1071.5223,0.8333333,991.3038,0.9300699,Response,0
119,0.54,1,803.2918,0.9561404,869.7203,0.9393939,Response,0
120,0.64,1,935.7413,0.9649123,1004.3777,0.9278075,Response,0
121,0.34,1,1059.0863,0.9912281,933.5519,0.9760766,Response,0
122,0.5,1,825.163,0.9736842,803.5548,0.9772727,Response,0
123,0.5,1,896.1443,0.9912281,851.8862,0.979798,Response,0
106,0.79591837,1,602.5957,0.9732143,653.1809,0.974026,Feature,0
107,0.28,1,750.5349,0.9732143,726.5273,0.9839572,Feature,0
109,0.8,1,642.9552,0.9196429,714.348,0.9356984,Feature,0
110,0.86,1,609.6164,0.9732143,637.5884,0.9855372,Feature,0
111,0.56,1,550.4676,0.9732143,539.2017,0.9623824,Feature,0
112,0.5,1,749.1152,0.9821429,748.4612,0.9300699,Feature,0
113,0.4,1,684.9256,0.9732143,649.1204,0.9545455,Feature,0
114,0.44,1,550.7849,0.9464286,615.7217,0.9486166,Feature,0
116,0.42,1,849.8356,0.9642857,993.2653,0.8989899,Feature,0
117,0.56,1,531.9556,0.9821429,649.9668,0.9376623,Feature,0
118,0.8,1,793.867,1,829.5463,0.9328063,Feature,0
119,0.5,1,739.1254,0.9910714,832.8346,0.9393939,Feature,0
120,0.38,1,756.2094,0.9375,820.8682,0.9525692,Feature,0
121,0.72,1,763.6064,0.9910714,680.5466,0.958042,Feature,0
122,0.2,1,506.7159,0.9821429,793.3569,0.9350649,Feature,0
123,0.56,1,810.7246,0.9910714,855.2459,0.9586777,Feature,0
106,0.41666667,2,885.0627,0.7232143,836.5845,0.8939394,Feature,0
107,0,2,914.4324,0.7678571,893.563,0.9318182,Feature,0
109,0.46,2,1184.9009,0.7053571,979.318,0.8776224,Feature,0
