ID,HR1,HR2,HR4,HF1,HF2,HF4
106,0.998376623,0.955922865,0.909090909,0.974025974,0.893939394,0.909090909
107,0.998316498,0.985257985,0.982323232,0.983957219,0.931818182,1
109,0.994854202,0.892561983,0.926406926,0.935698448,0.877622378,0.909090909
110,1,0.962121212,0.945454545,0.98553719,0.956112853,NaN
111,1,0.978181818,0.944281525,0.962382445,0.927272727,0.943181818
112,1,0.964646465,0.931818182,0.93006993,0.914772727,0.956937799
113,1,0.958677686,0.943850267,0.954545455,0.933333333,NaN
114,1,0.941919192,0.957871397,0.948616601,0.866028708,NaN
116,1,0.923076923,0.906565657,0.898989899,0.778409091,NaN
117,1,0.950413223,0.964059197,0.937662338,0.61038961,0.950757576
118,1,0.94214876,0.93006993,0.932806324,0.818181818,0.818181818
119,0.998284734,0.951219512,0.939393939,0.939393939,0.781818182,0.909090909
120,0.978181818,0.966740576,0.927807487,0.95256917,0.736363636,0.977272727
21,0.998376623,0.958230958,0.976076555,0.958041958,0.926136364,NaN
122,1,0.978181818,0.977272727,0.935064935,0.912121212,0.976363636
123,1,0.948051948,0.97979798,0.958677686,0.871212121,0.967272727
