ID,HR1,HR2,HR4,HF1,HF2,HF4
106,1,0.973684211,0.912280702,0.973214286,0.723214286,0.946428571
107,1,0.99122807,0.99122807,0.973214286,0.767857143,1
109,0.99122807,0.947368421,0.964912281,0.919642857,0.705357143,0.919642857
110,0.710526316,0.98245614,0.938596491,0.973214286,0.741071429,0.910714286
111,1,0.99122807,0.98245614,0.973214286,0.776785714,0.955357143
112,1,0.964912281,0.894736842,0.982142857,0.75,0.910714286
113,1,0.98245614,0.964912281,0.973214286,0.767857143,0.964285714
114,1,0.956140351,0.98245614,0.946428571,0.714285714,0.928571429
116,1,0.956140351,0.929824561,0.964285714,0.696428571,0.875
117,1,0.973684211,0.973684211,0.982142857,0.758928571,0.991071429
118,1,0.956140351,0.833333333,1,0.714285714,0.919642857
119,1,0.99122807,0.956140351,0.991071429,0.785714286,0.964285714
120,1,0.929824561,0.964912281,0.9375,0.794642857,0.946428571
21,1,0.98245614,0.99122807,0.991071429,0.767857143,0.982142857
122,1,0.964912281,0.973684211,0.982142857,0.776785714,0.982142857
123,1,0.964912281,0.99122807,0.991071429,0.785714286,0.982142857
