ID,HR1,HR2,HR4,HF1,HF2,HF4
106,398.2580586,612.2688052,779.8720258,653.1809153,836.5844711,1158.465852
107,412.3881804,667.6311043,721.3796403,726.5273026,893.5630262,886.4663617
109,354.4277996,649.5051698,785.0474236,714.3479697,979.3180396,777.1000087
110,335.1750983,619.2583535,833.2762329,637.5884165,837.8995383,NaN
111,345.338452,556.4808862,702.8693971,539.2016832,800.7202022,758.3336596
112,415.7204542,648.9430612,804.260118,748.4611775,985.5094001,910.5715987
113,386.4697011,650.9838044,749.4756789,649.120448,928.3074292,NaN
114,412.5297431,765.5233578,807.780181,615.7216834,941.8514915,NaN
116,519.6181597,945.3572132,939.4122067,993.2653488,1217.38367,NaN
117,318.511346,681.8990977,639.5001307,649.9668183,984.8104107,736.2036794
118,510.4058803,981.2203353,991.3038121,829.5462711,1042.325403,1243.589559
119,407.3034666,772.9637304,869.7202758,832.8346256,1076.85225,958.6356594
120,545.2980284,841.5668504,1004.37768,820.868172,1107.575506,1141.280115
21,387.7288293,769.7183836,933.5518998,680.5466186,880.1385948,NaN
122,328.5268117,687.1979606,803.5548193,793.3568717,888.0756674,797.0190966
123,356.4032334,944.6130802,851.8861861,855.2458824,1143.838636,1112.654784
