Subject,Condition,PracticeRT,PracticeErr,SelectionRate,Abstraction,Level,SelectionRT,SelectionErr
106,HR1,338.4638,1,0.97959184,0,1,398.2581,0.9983766
107,HR1,371.6336,1,0.98,0,1,412.3882,0.9983165
109,HR1,455.2981,0.9912281,0.94,0,1,354.4278,0.9948542
110,HR1,378.6407,0.7105263,0.8,0,1,335.1751,1
111,HR1,385.874,1,0.62,0,1,345.3385,1
112,HR1,492.6338,1,0.88,0,1,415.7205,1
113,HR1,313.0809,1,1,0,1,386.4697,1
114,HR1,361.6081,1,0.92,0,1,412.5297,1
116,HR1,407.4595,1,0.98,0,1,519.6182,1
117,HR1,284.1298,1,0.96,0,1,318.5113,1
118,HR1,609.4645,1,1,0,1,510.4059,1
119,HR1,349.7139,1,1,0,1,407.3035,0.9982847
120,HR1,669.8524,1,0.92,0,1,545.298,0.9781818
21,HR1,388.006,1,1,0,1,387.7288,0.9983766
122,HR1,517.6752,1,0.38,0,1,328.5268,1
123,HR1,426.2265,1,0.58,1,1,356.4032,1
106,HR2,659.5458,0.9736842,0.625,1,2,612.2688,0.9559229
107,HR2,649.017,0.9912281,0.68,1,2,667.6311,0.985258
109,HR2,597.8782,0.9473684,0.34,1,2,649.5052,0.892562
110,HR2,704.6283,0.9824561,0.66,1,2,619.2584,0.9621212
111,HR2,602.4949,0.9912281,0.44,1,2,556.4809,0.9781818
112,HR2,680.6712,0.9649123,0.66,1,2,648.9431,0.9646465
113,HR2,650.5596,0.9824561,0.8,1,2,650.9838,0.9586777
114,HR2,706.7074,0.9561404,0.62,1,2,765.5234,0.9419192
116,HR2,826.6188,0.9561404,0.7,1,2,945.3572,0.9230769
117,HR2,564.3358,0.9736842,0.16,1,2,681.8991,0.9504132
118,HR2,928.8914,0.9561404,0.6,1,2,981.2203,0.9421488
119,HR2,666.0676,0.9912281,0.74,1,2,772.9637,0.9512195
120,HR2,864.9915,0.9298246,0.74,1,2,841.5669,0.9667406
21,HR2,954.3128,0.9824561,0.68,1,2,769.7184,0.958231
122,HR2,699.8469,0.9649123,0.44,1,2,687.198,0.9781818
123,HR2,914.2742,0.9649123,0.5,1,2,944.6131,0.9480519
106,HR4,738.4994,0.9122807,0.16326531,1,4,779.872,0.9090909
107,HR4,736.8306,0.9912281,0.68,1,4,721.3796,0.9823232
