Variable,Estimate,N. Models,CI Lower,CI Upper,Importance,,
Abstraction,-0.5160,32,-0.9918,-0.0402,0.8703,,
Abstraction : Error Rates,-0.0237,20,-0.3177,0.2702,0.4286,,
Abstraction : Reaction Time,0.0001,28,-0.0002,0.0004,0.4260,,
Error Rates,0.2952,32,-0.7090,1.2995,0.3867,,
Reaction Times,-0.0002,32,-0.0010,0.0006,0.3340,,
Error Rates: Reaction Time,0.0000,11,0.0000,0.0000,0.0380,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
